0,- Alias -,- Group -,- Encoding -,"#S = immediate (I=1). S = register.
#D = immediate (L=1). D = register.

- Assembly Syntax -","* Z = (result == 0).
** If #S and cogex, PC += signed(S). If #S and hubex, PC += signed(S*4). If S, PC = register S.

- Description -","8-Cog Timing
* +1 if crosses hub long

- Cogex Cycles -","8-Cog Timing
* +1 if crosses hub long

- Hubex Cycles -","16-Cog Timing
* +1 if crosses hub long

- Cogex Cycles -","16-Cog Timing
* +1 if crosses hub long

- Hubex Cycles -","* Data not forwarded.

- Register Write -",- Hub R/W -,- Stack R/W -,"CF/ZF are local bits
Dv = variable to write

- Spin Methods -"
45,.,Math and Logic,EEEE 0100011 CZI DDDDDDDDD SSSSSSSSS,"BITNC   D,{#}S         {WCZ}","Bit S[4:0] of D = !C,   C,Z = D[S[4:0]].",2,same,2,same,D,,,"BITNC_(Dv,S)"
46,.,Math and Logic,EEEE 0100100 CZI DDDDDDDDD SSSSSSSSS,"BITZ    D,{#}S         {WCZ}","Bit S[4:0] of D = Z,    C,Z = D[S[4:0]].",2,same,2,same,D,,,"BITZ_(Dv,S)"
47,.,Math and Logic,EEEE 0100101 CZI DDDDDDDDD SSSSSSSSS,"BITNZ   D,{#}S         {WCZ}","Bit S[4:0] of D = !Z,   C,Z = D[S[4:0]].",2,same,2,same,D,,,"BITNZ_(Dv,S)"
48,.,Math and Logic,EEEE 0100110 CZI DDDDDDDDD SSSSSSSSS,"BITRND  D,{#}S         {WCZ}","Bit S[4:0] of D = RND,  C,Z = D[S[4:0]].",2,same,2,same,D,,,"BITRND_(Dv,S)"
49,.,Math and Logic,EEEE 0100111 CZI DDDDDDDDD SSSSSSSSS,"BITNOT  D,{#}S         {WCZ}","Bit S[4:0] of D = !bit, C,Z = D[S[4:0]].",2,same,2,same,D,,,"BITNOT_(Dv,S)"
50,.,Math and Logic,EEEE 0101000 CZI DDDDDDDDD SSSSSSSSS,"AND     D,{#}S   {WC/WZ/WCZ}",AND S into D.    D = D & S.    C = parity of result. *,2,same,2,same,D,,,"AND_(Dv,S)"
51,.,Math and Logic,EEEE 0101001 CZI DDDDDDDDD SSSSSSSSS,"ANDN    D,{#}S   {WC/WZ/WCZ}",AND !S into D.   D = D & !S.   C = parity of result. *,2,same,2,same,D,,,"ANDN_(Dv,S)"
52,.,Math and Logic,EEEE 0101010 CZI DDDDDDDDD SSSSSSSSS,"OR      D,{#}S   {WC/WZ/WCZ}",OR S into D.     D = D | S.    C = parity of result. *,2,same,2,same,D,,,"OR_(Dv,S)"
53,.,Math and Logic,EEEE 0101011 CZI DDDDDDDDD SSSSSSSSS,"XOR     D,{#}S   {WC/WZ/WCZ}",XOR S into D.    D = D ^ S.    C = parity of result. *,2,same,2,same,D,,,"XOR_(Dv,S)"
54,.,Math and Logic,EEEE 0101100 CZI DDDDDDDDD SSSSSSSSS,"MUXC    D,{#}S   {WC/WZ/WCZ}",Mux  C into each D bit that is '1' in S. D = (!S & D ) | (S & {32{ C}}). C = parity of result. *,2,same,2,same,D,,,"MUXC_(Dv,S)"
55,.,Math and Logic,EEEE 0101101 CZI DDDDDDDDD SSSSSSSSS,"MUXNC   D,{#}S   {WC/WZ/WCZ}",Mux !C into each D bit that is '1' in S. D = (!S & D ) | (S & {32{!C}}). C = parity of result. *,2,same,2,same,D,,,"MUXNC_(Dv,S)"
56,.,Math and Logic,EEEE 0101110 CZI DDDDDDDDD SSSSSSSSS,"MUXZ    D,{#}S   {WC/WZ/WCZ}",Mux  Z into each D bit that is '1' in S. D = (!S & D ) | (S & {32{ Z}}). C = parity of result. *,2,same,2,same,D,,,"MUXZ_(Dv,S)"
57,.,Math and Logic,EEEE 0101111 CZI DDDDDDDDD SSSSSSSSS,"MUXNZ   D,{#}S   {WC/WZ/WCZ}",Mux !Z into each D bit that is '1' in S. D = (!S & D ) | (S & {32{!Z}}). C = parity of result. *,2,same,2,same,D,,,"MUXNZ_(Dv,S)"
58,.,Math and Logic,EEEE 0110000 CZI DDDDDDDDD SSSSSSSSS,"MOV     D,{#}S   {WC/WZ/WCZ}",Move S into D. D = S. C = S[31]. *,2,same,2,same,D,,,"MOV_(Dv,S)"
59,.,Math and Logic,EEEE 0110001 CZI DDDDDDDDD SSSSSSSSS,"NOT     D,{#}S   {WC/WZ/WCZ}",Get !S into D. D = !S. C = !S[31]. *,2,same,2,same,D,,,"NOT_(Dv,S)"
60,alias,Math and Logic,EEEE 0110001 CZ0 DDDDDDDDD DDDDDDDDD,NOT     D        {WC/WZ/WCZ},Get !D into D. D = !D. C = !D[31]. *,2,same,2,same,D,,,NOT_(Dv)
61,.,Math and Logic,EEEE 0110010 CZI DDDDDDDDD SSSSSSSSS,"ABS     D,{#}S   {WC/WZ/WCZ}",Get absolute value of S into D. D = ABS(S). C = S[31]. *,2,same,2,same,D,,,"ABS_(Dv,S)"
62,alias,Math and Logic,EEEE 0110010 CZ0 DDDDDDDDD DDDDDDDDD,ABS     D        {WC/WZ/WCZ},Get absolute value of D into D. D = ABS(D). C = D[31]. *,2,same,2,same,D,,,ABS_(Dv)
63,.,Math and Logic,EEEE 0110011 CZI DDDDDDDDD SSSSSSSSS,"NEG     D,{#}S   {WC/WZ/WCZ}",Negate S into D. D = -S. C = MSB of result. *,2,same,2,same,D,,,"NEG_(Dv,S)"
64,alias,Math and Logic,EEEE 0110011 CZ0 DDDDDDDDD DDDDDDDDD,NEG     D        {WC/WZ/WCZ},Negate D.        D = -D. C = MSB of result. *,2,same,2,same,D,,,NEG_(Dv)
65,.,Math and Logic,EEEE 0110100 CZI DDDDDDDDD SSSSSSSSS,"NEGC    D,{#}S   {WC/WZ/WCZ}","Negate S by  C into D. If C = 1 then D = -S, else D = S. C = MSB of result. *",2,same,2,same,D,,,"NEGC_(Dv,S)"
66,alias,Math and Logic,EEEE 0110100 CZ0 DDDDDDDDD DDDDDDDDD,NEGC    D        {WC/WZ/WCZ},"Negate D by  C.        If C = 1 then D = -D, else D = D. C = MSB of result. *",2,same,2,same,D,,,NEGC_(Dv)
67,.,Math and Logic,EEEE 0110101 CZI DDDDDDDDD SSSSSSSSS,"NEGNC   D,{#}S   {WC/WZ/WCZ}","Negate S by !C into D. If C = 0 then D = -S, else D = S. C = MSB of result. *",2,same,2,same,D,,,"NEGNC_(Dv,S)"
68,alias,Math and Logic,EEEE 0110101 CZ0 DDDDDDDDD DDDDDDDDD,NEGNC   D        {WC/WZ/WCZ},"Negate D by !C.        If C = 0 then D = -D, else D = D. C = MSB of result. *",2,same,2,same,D,,,NEGNC_(Dv)
69,.,Math and Logic,EEEE 0110110 CZI DDDDDDDDD SSSSSSSSS,"NEGZ    D,{#}S   {WC/WZ/WCZ}","Negate S by  Z into D. If Z = 1 then D = -S, else D = S. C = MSB of result. *",2,same,2,same,D,,,"NEGZ_(Dv,S)"
70,alias,Math and Logic,EEEE 0110110 CZ0 DDDDDDDDD DDDDDDDDD,NEGZ    D        {WC/WZ/WCZ},"Negate D by  Z.        If Z = 1 then D = -D, else D = D. C = MSB of result. *",2,same,2,same,D,,,NEGZ_(Dv)
71,.,Math and Logic,EEEE 0110111 CZI DDDDDDDDD SSSSSSSSS,"NEGNZ   D,{#}S   {WC/WZ/WCZ}","Negate S by !Z into D. If Z = 0 then D = -S, else D = S. C = MSB of result. *",2,same,2,same,D,,,"NEGNZ_(Dv,S)"
72,alias,Math and Logic,EEEE 0110111 CZ0 DDDDDDDDD DDDDDDDDD,NEGNZ   D        {WC/WZ/WCZ},"Negate D by !Z.        If Z = 0 then D = -D, else D = D. C = MSB of result. *",2,same,2,same,D,,,NEGNZ_(Dv)
73,.,Math and Logic,EEEE 0111000 CZI DDDDDDDDD SSSSSSSSS,"INCMOD  D,{#}S   {WC/WZ/WCZ}","Increment with modulus. If D = S then D = 0 and C = 1, else D = D + 1 and C = 0. *",2,same,2,same,D,,,"INCMOD_(Dv,S)"
74,.,Math and Logic,EEEE 0111001 CZI DDDDDDDDD SSSSSSSSS,"DECMOD  D,{#}S   {WC/WZ/WCZ}","Decrement with modulus. If D = 0 then D = S and C = 1, else D = D - 1 and C = 0. *",2,same,2,same,D,,,"DECMOD_(Dv,S)"
75,.,Math and Logic,EEEE 0111010 CZI DDDDDDDDD SSSSSSSSS,"ZEROX   D,{#}S   {WC/WZ/WCZ}",Zero-extend D above bit S[4:0]. C = MSB of result. *,2,same,2,same,D,,,"ZEROX_(Dv,S)"
76,.,Math and Logic,EEEE 0111011 CZI DDDDDDDDD SSSSSSSSS,"SIGNX   D,{#}S   {WC/WZ/WCZ}",Sign-extend D from bit S[4:0]. C = MSB of result. *,2,same,2,same,D,,,"SIGNX_(Dv,S)"
77,.,Math and Logic,EEEE 0111100 CZI DDDDDDDDD SSSSSSSSS,"ENCOD   D,{#}S   {WC/WZ/WCZ}",Get bit position of top-most '1' in S into D. D = position of top '1' in S (0..31). C = (S != 0). *,2,same,2,same,D,,,"ENCOD_(Dv,S)"
78,alias,Math and Logic,EEEE 0111100 CZ0 DDDDDDDDD DDDDDDDDD,ENCOD   D        {WC/WZ/WCZ},Get bit position of top-most '1' in D into D. D = position of top '1' in S (0..31). C = (S != 0). *,2,same,2,same,D,,,ENCOD_(Dv)
79,.,Math and Logic,EEEE 0111101 CZI DDDDDDDDD SSSSSSSSS,"ONES    D,{#}S   {WC/WZ/WCZ}",Get number of '1's in S into D. D = number of '1's in S (0..32). C = LSB of result. *,2,same,2,same,D,,,"ONES_(Dv,S)"
80,alias,Math and Logic,EEEE 0111101 CZ0 DDDDDDDDD DDDDDDDDD,ONES    D        {WC/WZ/WCZ},Get number of '1's in D into D. D = number of '1's in S (0..32). C = LSB of result. *,2,same,2,same,D,,,ONES_(Dv)
81,.,Math and Logic,EEEE 0111110 CZI DDDDDDDDD SSSSSSSSS,"TEST    D,{#}S   {WC/WZ/WCZ}",Test D with S. C = parity of (D & S). Z = ((D & S) == 0).,2,same,2,same,,,,"TEST_(D,S)"
82,alias,Math and Logic,EEEE 0111110 CZ0 DDDDDDDDD DDDDDDDDD,TEST    D        {WC/WZ/WCZ},Test D. C = parity of D. Z = (D == 0).,2,same,2,same,,,,TEST_(D)
83,.,Math and Logic,EEEE 0111111 CZI DDDDDDDDD SSSSSSSSS,"TESTN   D,{#}S   {WC/WZ/WCZ}",Test D with !S. C = parity of (D & !S). Z = ((D & !S) == 0).,2,same,2,same,,,,"TESTN_(D,S)"
84,.,Math and Logic,EEEE 100000N NNI DDDDDDDDD SSSSSSSSS,"SETNIB  D,{#}S,#N","Set S[3:0] into nibble N in D, keeping rest of D same.",2,same,2,same,D,,,"SETNIB_(Dv,S,N)"
85,alias,Math and Logic,EEEE 1000000 00I 000000000 SSSSSSSSS,SETNIB  {#}S,Set S[3:0] into nibble established by prior ALTSN instruction.,2,same,2,same,D,,,
86,.,Math and Logic,EEEE 100001N NNI DDDDDDDDD SSSSSSSSS,"GETNIB  D,{#}S,#N","Get nibble N of S into D. D = {28'b0, S.NIBBLE[N]).",2,same,2,same,D,,,"GETNIB_(Dv,S,N)"
87,alias,Math and Logic,EEEE 1000010 000 DDDDDDDDD 000000000,GETNIB  D,Get nibble established by prior ALTGN instruction into D.,2,same,2,same,D,,,
88,.,Math and Logic,EEEE 100010N NNI DDDDDDDDD SSSSSSSSS,"ROLNIB  D,{#}S,#N","Rotate-left nibble N of S into D. D = {D[27:0], S.NIBBLE[N]).",2,same,2,same,D,,,"ROLNIB_(Dv,S,N)"
89,alias,Math and Logic,EEEE 1000100 000 DDDDDDDDD 000000000,ROLNIB  D,Rotate-left nibble established by prior ALTGN instruction into D.,2,same,2,same,D,,,
90,.,Math and Logic,EEEE 1000110 NNI DDDDDDDDD SSSSSSSSS,"SETBYTE D,{#}S,#N","Set S[7:0] into byte N in D, keeping rest of D same.",2,same,2,same,D,,,"SETBYTE_(Dv,S,N)"
91,alias,Math and Logic,EEEE 1000110 00I 000000000 SSSSSSSSS,SETBYTE {#}S,Set S[7:0] into byte established by prior ALTSB instruction.,2,same,2,same,D,,,
92,.,Math and Logic,EEEE 1000111 NNI DDDDDDDDD SSSSSSSSS,"GETBYTE D,{#}S,#N","Get byte N of S into D. D = {24'b0, S.BYTE[N]).",2,same,2,same,D,,,"GETBYTE_(Dv,S,N)"
93,alias,Math and Logic,EEEE 1000111 000 DDDDDDDDD 000000000,GETBYTE D,Get byte established by prior ALTGB instruction into D.,2,same,2,same,D,,,
94,.,Math and Logic,EEEE 1001000 NNI DDDDDDDDD SSSSSSSSS,"ROLBYTE D,{#}S,#N","Rotate-left byte N of S into D. D = {D[23:0], S.BYTE[N]).",2,same,2,same,D,,,"ROLBYTE_(Dv,S,N)"
95,alias,Math and Logic,EEEE 1001000 000 DDDDDDDDD 000000000,ROLBYTE D,Rotate-left byte established by prior ALTGB instruction into D.,2,same,2,same,D,,,
96,.,Math and Logic,EEEE 1001001 0NI DDDDDDDDD SSSSSSSSS,"SETWORD D,{#}S,#N","Set S[15:0] into word N in D, keeping rest of D same.",2,same,2,same,D,,,"SETWORD_(Dv,S,N)"
97,alias,Math and Logic,EEEE 1001001 00I 000000000 SSSSSSSSS,SETWORD {#}S,Set S[15:0] into word established by prior ALTSW instruction.,2,same,2,same,D,,,
98,.,Math and Logic,EEEE 1001001 1NI DDDDDDDDD SSSSSSSSS,"GETWORD D,{#}S,#N","Get word N of S into D. D = {16'b0, S.WORD[N]).",2,same,2,same,D,,,"GETWORD_(Dv,S,N)"
99,alias,Math and Logic,EEEE 1001001 100 DDDDDDDDD 000000000,GETWORD D,Get word established by prior ALTGW instruction into D.,2,same,2,same,D,,,
100,.,Math and Logic,EEEE 1001010 0NI DDDDDDDDD SSSSSSSSS,"ROLWORD D,{#}S,#N","Rotate-left word N of S into D. D = {D[15:0], S.WORD[N]).",2,same,2,same,D,,,"ROLWORD_(Dv,S,N)"
101,alias,Math and Logic,EEEE 1001010 000 DDDDDDDDD 000000000,ROLWORD D,Rotate-left word established by prior ALTGW instruction into D.,2,same,2,same,D,,,
102,.,Register Indirection,EEEE 1001010 10I DDDDDDDDD SSSSSSSSS,"ALTSN   D,{#}S","Alter subsequent SETNIB instruction. Next D field = (D[11:3] + S) & $1FF, N field = D[2:0].          D += sign-extended S[17:9].",2,same,2,same,D,,,
103,alias,Register Indirection,EEEE 1001010 101 DDDDDDDDD 000000000,ALTSN   D,"Alter subsequent SETNIB instruction. Next D field = D[11:3], N field = D[2:0].",2,same,2,same,D,,,
104,.,Register Indirection,EEEE 1001010 11I DDDDDDDDD SSSSSSSSS,"ALTGN   D,{#}S","Alter subsequent GETNIB/ROLNIB instruction. Next S field = (D[11:3] + S) & $1FF, N field = D[2:0].   D += sign-extended S[17:9].",2,same,2,same,D,,,
105,alias,Register Indirection,EEEE 1001010 111 DDDDDDDDD 000000000,ALTGN   D,"Alter subsequent GETNIB/ROLNIB instruction. Next S field = D[11:3], N field = D[2:0].",2,same,2,same,D,,,
